TOTAL  AVES 2000-2023,LINEA,CIUDAD,DEPARTAMENTO,PRECIO PROMEDIO 2000-2023
49500,HY LINE BROWN,GUACARI,VALLE DEL CAUCA,2150.0
294800,HY LINE BROWN,TULUA,VALLE DEL CAUCA,2870.0
4987250,HY LINE BROWN,CALI,VALLE DEL CAUCA,3150.0
216300,HY LINE BROWN,CALI,VALLE DEL CAUCA,1750.0
39000,HY LINE BROWN,CALI,VALLE DEL CAUCA,2150.0
64800,HY LINE BROWN TIR,GUAPI,CAUCA,3500.0
4000,HY LINE BROWN,BUGA,VALLE DEL CAUCA,2625.0
953090,HY LINE BROWN TIR,MANIZALES,CALDAS,3500.0
350000,HY LINE BROWN TIR,TULUA,VALLE DEL CAUCA,3500.0
102050,HY LINE BROWN,TULUA,VALLE DEL CAUCA,2870.0
3000,HY LINE BROWN,CALI,VALLE DEL CAUCA,3050.0
93300,HY LINE BROWN,CALI,VALLE DEL CAUCA,3380.0
11000,HY LINE BROWN TIR,PEREIRA,RISARALDA,2625.0
7200,HY LINE BROWN,ROLDANILLO,VALLE DEL CAUCA,3050.0
82200,HY LINE BROWN TIR,PASTO,NARIÑO,3380.0
66500,HY LINE BROWN,TULUA,VALLE DEL CAUCA,2150.0
5000,HY LINE BROWN,CALI,VALLE DEL CAUCA,1400.0
200,HY LINE BROWN,LA VICTORIA,CALDAS,3050.0
10000,HY LINE BROWN,SAN PEDRO,VALLE DEL CAUCA,3500.0
23300,HY LINE W-36,ARMENIA,QUINDIO,1275.0
2500,HY LINE BROWN,POPAYAN,CAUCA,3420.0
246800,HY LINE BROWN,TULUA,VALLE DEL CAUCA,2100.0
2900,HY LINE BROWN,MANIZALEZ,CALDAS,2150.0
51000,HY LINE BROWN,TULUA,VALLE DEL CAUCA,2150.0
100,HY LINE BROWN,VILLAMARIA,CALDAS,2980.0
13400,HY LINE BROWN,BUGA,VALLE DEL CAUCA,3050.0
1500,HY LINE BROWN,BUGA,VALLE DEL CAUCA,2980.0
5000,HY LINE BROWN,ANSERMA NUEVO,VALLE DEL CAUCA,2625.0
800,HY LINE BROWN,GINEBRA,VALLE DEL CAUCA,1850.0
15500,HY LINE BROWN,EL TAMBO,NARIÑO,2215.0
500,HY LINE BROWN,SANTANDER DE QUILICHAO,CAUCA,3050.0
6000,HY LINE BROWN,ARMENIA,QUINDIO,3050.0
110300,HY LINE W-36,MANIZALES,CALDAS,3100.0
127700,HY LINE BROWN,CALI,VALLE DEL CAUCA,2215.0
28200,HY LINE BROWN,CARTAGO,VALLE DEL CAUCA,2450.0
11100,HY LINE BROWN TIR,CALI,VALLE DEL CAUCA,3260.0
174900,HY LINE BROWN,SAN PEDRO,VALLE DEL CAUCA,3050.0
145000,HY LINE BROWN,BUGA,VALLE DEL CAUCA,2325.0
68900,HY LINE BROWN,CALI,VALLE DEL CAUCA,2760.0
37300,HY LINE BROWN,SAN PEDRO,VALLE DEL CAUCA,3500.0
621825,HY LINE W-80 TIR,LA CEJA,ANTIOQUIA,1750.0
15000,HY LINE BROWN,OBANDO,VALLE DEL CAUCA,2760.0
2500,HY LINE BROWN,PASTO,NARIÑO,2625.0
304400,HY LINE BROWN,POPAYAN,CAUCA,650.0
334000,HY LINE BROWN,SAN PEDRO,VALLE DEL CAUCA,2450.0
571350,HY LINE BROWN,CARTAGO,VALLE DEL CAUCA,3420.0
163500,HY LINE BROWN,BUGA,VALLE DEL CAUCA,650.0
626700,HY LINE BROWN,BUGA,VALLE DEL CAUCA,2150.0
17500,HY LINE W-36,ANSERMA NUEVO,VALLE DEL CAUCA,2150.0
7000,HY LINE BROWN TIR,DAGUA,VALLE DEL CAUCA,1910.0
38000,HY LINE BROWN,CALI,VALLE DEL CAUCA,3170.0
600,HY LINE BROWN,LA VICTORIA,CALDAS,2215.0
700,HY LINE BROWN,TULUA,VALLE DEL CAUCA,2150.0
25500,HY LINE BROWN,TULUA,VALLE DEL CAUCA,1275.0
5000,HY LINE BROWN,BUGA,VALLE DEL CAUCA,3050.0
400,HY LINE W-36,ARMENIA,QUINDIO,2150.0
385800,HY LINE W-80 TIR,CARTAGO,VALLE DEL CAUCA,3260.0
1100,HY LINE BROWN,YUMBO,VALLE DEL CAUCA,3500.0
5500,HY LINE W-36,CALI,VALLE DEL CAUCA,2750.0
34000,HY LINE BROWN,BUGA,VALLE DEL CAUCA,1910.0
20000,HY LINE BROWN,POPAYAN,CAUCA,3420.0
3600,HY LINE BROWN,PASTO,NARIÑO,3420.0
1500,HY LINE W-36,PASTO,NARIÑO,2625.0
14000,HY LINE BROWN,SAN PEDRO,VALLE DEL CAUCA,3500.0
3800,HY LINE BROWN,SANTANDER DE QUILICHAO,CAUCA,3500.0
12000,HY LINE BROWN,CALI,VALLE DEL CAUCA,2150.0
21200,HY LINE BROWN,PACORA,CALDAS,3260.0
11373,HY LINE BROWN,MANIZALEZ,CALDAS,3420.0
400,HY LINE BROWN,MANIZALEZ,CALDAS,3170.0
1200,HY LINE BROWN,PACORA,CALDAS,2625.0
1000,HY LINE W-36,CHINCHINA,CALDAS,2325.0
26800,HY LINE BROWN,BUGA,VALLE DEL CAUCA,365.0
1300,HY LINE BROWN,TULUA,VALLE DEL CAUCA,2760.0
20500,HY LINE BROWN,BUGA,VALLE DEL CAUCA,2150.0
1400,HY LINE BROWN TIR,PACORA,CALDAS,2760.0
580500,HY LINE BROWN,ARMENIA,QUINDIO,2625.0
9300,HY LINE BROWN,ARMENIA,QUINDIO,2050.0
1500,HY LINE BROWN,ARMENIA,QUINDIO,3500.0
500,HY LINE BROWN,TULUA,VALLE DEL CAUCA,3420.0
200,HY LINE BROWN TIR,TRUJILLO,VALLE DEL CAUCA,3260.0
5500,HY LINE BROWN,SANDONA,NARIÑO,1487.0
500,HY LINE BROWN,SANTANDER DE QUILICHAO,CAUCA,3500.0
2200,HY LINE BROWN,RIOSUCIO,CALDAS,3500.0
500,HY LINE BROWN,POPAYAN,CAUCA,3500.0
4300,HY LINE BROWN,PASTO,NARIÑO,2980.0
700,HY LINE BROWN,PASTO,NARIÑO,520.0
5100,HY LINE BROWN,EL CERRITO,VALLE DEL CAUCA,2325.0
3000,HY LINE BROWN,BUGA,VALLE DEL CAUCA,2050.0
13300,HY LINE BROWN TIR,PALMIRA,VALLE DEL CAUCA,3050.0
51000,HY LINE BROWN,CALI,VALLE DEL CAUCA,2760.0
42600,HY LINE BROWN,PEREIRA,RISARALDA,3500.0
3000,HY LINE BROWN,CALI,VALLE DEL CAUCA,2450.0
40500,HY LINE BROWN,CALI,VALLE DEL CAUCA,1990.0
2200,HY LINE BROWN,PASTO,NARIÑO,2150.0
1100,HY LINE BROWN,CARTAGO,VALLE DEL CAUCA,3050.0
800,HY LINE BROWN,VITERBO,CALDAS,3050.0
22900,HY LINE W-36,GUACARI,VALLE DEL CAUCA,2760.0
32900,HY LINE BROWN,SAN PEDRO,VALLE DEL CAUCA,1275.0
46100,HY LINE BROWN,CALI,VALLE DEL CAUCA,2760.0
300,HY LINE BROWN,BARRANQUILLA,ATLANTICO,2760.0
82084,HY LINE BROWN,TULUA,VALLE DEL CAUCA,2760.0
2000,HY LINE BROWN,CIRCASIA,QUINDIO,3500.0
600,HY LINE W-36,EL CERRITO,VALLE DEL CAUCA,520.0
385430,HY LINE BROWN,CALI,VALLE DEL CAUCA,3050.0
17100,HY LINE BROWN,EL TAMBO,CAUCA,3050.0
9100,HY LINE BROWN,EL TAMBO,CAUCA,3050.0
40700,HY LINE BROWN,EL TAMBO,CAUCA,3260.0
4000,HY LINE BROWN,TULUA,VALLE DEL CAUCA,3500.0
173300,HY LINE BROWN,BUGA,VALLE DEL CAUCA,3420.0
6000,HY LINE BROWN,SANTANDER DE QUILICHAO,CAUCA,2450.0
1000,HY LINE BROWN,POPAYAN,CAUCA,3500.0
